# Time-averaged data for fix printp
# TimeStep v_pxy v_pxz v_pyz v_pxx v_pyy v_pzz
518 848.98 924.184 2718.01 56211.6 53152.7 53553.5
520 835.148 1265.1 3610.95 54616.3 52834.7 52713.8
522 888.175 1471.7 4678.36 53051 52312 51846.7
524 962.605 1697.74 5791.09 51531.1 51647.6 50978.1
526 843.431 1915.02 6559.52 49981.3 50787.5 50076.1
528 565.975 2009.15 6747.27 48333.3 49783.5 49054.1
530 396.265 2091.74 6486.32 46988.6 48973.7 48311.3
532 419.244 2208.71 5875.08 46071.4 48364.1 47838
534 368.949 2307.3 5001.85 45440.4 47788.6 47486.3
536 127.757 2319.26 4257.14 45393.4 47154.6 47239.3
538 -185.081 2034.42 3462.47 45990.4 46918.4 47300.4
540 -154.574 1688.11 2559.72 46913.4 46938.9 47635.3
542 3.28318 1379.89 1600.68 48188.6 46994.1 48302.1
544 -82.8638 819.73 659.166 50000.6 47386.5 49256.1
546 -346.422 -25.5277 -108.555 51778.9 48068.1 50304.3
548 -393.845 -991.933 -550.861 53259.4 48781.3 51218.8
550 -569.461 -1581.27 -772.134 54483.2 49673.6 52177.2
552 -1002.08 -1805.53 -764.91 55254.4 50506.6 52884.8
554 -1569.39 -1892.2 -556.601 55147.2 50654.6 53327.3
556 -2081.31 -1979.25 -200.377 54319.7 50188.7 53314.3
558 -2398.88 -1936.74 459.267 53034.6 49432.8 53105.4
560 -2629.05 -1498.57 1463.63 51646.2 48720.3 52724
562 -3044.88 -766.659 2631.76 50474.7 48133 52317.3
564 -3474.09 77.3441 3801.37 49562.6 47662.7 51866.5
566 -3729.21 917.51 4909.53 48979.8 47523 51022.1
568 -3742.93 1696.77 5776.29 48355.7 47355.6 49923
570 -3468.6 2365.42 6118.45 47719.1 46986.2 48678.6
572 -3082.96 2726.56 5955.55 47174.3 46670.7 47499.9
574 -2605.58 2917.46 5590.19 46851.1 46721.5 46489.2
576 -1975.03 3043.59 4901.04 46758.8 46911.3 45389
578 -1145.17 3007.55 4030.77 46914.9 47154.7 44798
580 -401.099 2837.1 3120.73 47579.6 47622.4 44717.8
582 101.935 2619.25 2209.45 48816.1 48366.7 45198.9
584 287.942 2464.75 1364.5 50580.6 49177.2 46128.8
586 266.917 2101.5 743.626 52174.4 49994.7 47558.9
588 114.411 1389.63 362.989 53132.3 50579.4 49255.7
590 -195.22 680.607 200.215 54050.1 51151.1 51174.6
592 -360.147 95.2829 266.052 54885.1 51823.3 53172.8
594 -292.578 -402.861 576.988 55638 52352.5 55276.7
596 -317.6 -745.33 954.472 55970.9 52444.3 57019.9
598 -528.955 -899.468 1414.31 55379.5 51761.4 57997.9
600 -801.822 -786.028 1911.88 53850.4 50376.7 58060.3
602 -1118.7 -488.378 2437.6 52118.2 48975.2 57635.8
604 -1421.02 -70.0206 2836.93 50890.6 48021.4 57076.8
606 -1685.1 396.942 3055.54 50055.6 47473.4 56433.9
608 -1825.11 892.759 3138.6 49527.3 47200.3 55414.7
610 -1852.5 1365.81 3246.16 49299.4 47068.6 53796.8
612 -1711.62 1721.72 3197.99 49320.8 47142.8 51892.7
614 -1642.13 2091.96 2999.36 49540.6 47282.4 49794.1
616 -1419.19 2452.46 2688.45 49772.8 47226.7 47352.3
618 -1073.84 2757.14 2122.19 49868.1 47181.7 45221
620 -741.511 2819.01 1397.46 50124.3 47391.3 43770.3
622 -567.885 2734.09 674.395 50715.1 47960.1 43114.1
624 -480.731 2635.45 4.00818 51242.9 48603.4 43169.7
626 -410.796 2550.05 -536.333 51562 49161.3 43600.8
628 -462.742 2378.38 -1068.71 51653.2 49694.9 44207.7
630 -641.465 2095.79 -1468.74 51447.6 50190.6 45024.8
632 -930.111 1812.44 -1570.23 50768.8 50506.1 46156
634 -1263.97 1729.51 -1338.43 49785.7 50622.8 47466.7
636 -1755.7 1770.83 -840.427 48760.3 50754.2 48906.3
638 -2322.33 1768.79 -120.613 47762 50893.6 50313.2
640 -2838.26 1655 692.683 46842.6 50921.9 51318.5
642 -3122.58 1484.85 1570.36 46114.6 50804.5 51845.8
644 -3083.68 1340.76 2460.59 45642.9 50737.9 51842.8
646 -2799.16 1309.76 3310.55 45267.3 50775.9 51397.8
648 -2232.64 1397.89 4021.52 45007.4 50915.6 50606.1
650 -1534.56 1605.73 4288.32 44985.3 51039.8 49582.2
652 -856.191 1838.01 4195.18 45158.2 51150.9 48501.7
654 -112.129 2022.54 4203.79 45258.3 50856.8 47292
656 811.648 2264.42 4565.42 45197.2 50005.2 46008.3
658 1699.92 2700.84 4895.94 45499 49056.8 45046.6
660 2461.65 3099.67 4839.09 46040.5 48554.5 44371.5
662 2971.61 3316.69 4500.23 46539.6 48480 44318.7
664 3204.34 3429.95 3943.59 46830.1 48543.7 44827.6
666 3087.37 3589.41 3102.69 46925.6 48493 45832.3
668 2713.54 3796.93 2248.85 47088.1 48661.2 47116.6
670 2189.2 3840.39 1528.47 47430.3 48995.5 48552.8
672 1585.4 3771.46 926.8 48055.3 49612.8 50309.9
674 925.971 3611.03 352.615 48908.9 50692.2 52395
676 241.449 3389.01 -272.349 49803.3 51993.1 54578.8
678 -444.548 3039.7 -815.547 50392 52912.7 56487
680 -1029.55 2503.39 -1079.12 50814.5 53290.9 57493.6
682 -1420.05 1664.93 -869.26 51249.9 53200 57399.6
684 -1567.81 599.927 -497.028 51675.5 53056.5 56725.7
686 -1520.7 -528.189 -307.923 51368 52627.6 55893.1
688 -1346.31 -1241.43 -222.161 50260 51783.9 54511.6
690 -1047.09 -1537.93 9.64766 48714.5 50624.8 52622.6
692 -553.979 -1702.93 368.094 47150.1 48903.1 50690
694 80.9619 -1776.31 838.806 45927.4 47059.5 48685.4
696 522.801 -1767.49 1379.56 45343.4 45932.8 46798.9
698 794.323 -1690.55 1843.11 45227.5 45363 45458
700 1002.56 -1457.2 2257.02 45282.1 44887.2 44488.2
702 1175.35 -1036.31 2506.83 45561.8 44295.9 43757.6
704 1256.8 -527.917 2631.93 46390.8 44079.7 43264.1
706 1180 -126.593 2744.41 47339.9 44262.4 43171.3
708 1051.86 217.756 2786.86 48103 44552.5 43427.6
710 936.466 508.666 2672.87 48966.4 44889.5 43985.6
712 757.692 687.753 2480.17 50276.6 45792 44990.9
714 479.646 851.582 2169.78 51937.2 47470.8 46273.1
716 352.547 870.437 1649.4 53629.7 49510.5 47813.8
718 417.352 657.114 1036.89 54765.3 51390.2 49610
720 762.079 325.412 466.593 55340 52983.4 51364.3
722 1191.89 -189.254 75.6585 55148.4 54193.7 52540.9
724 1764.67 -921.869 -251.171 54492.4 54936.8 53349.9
726 2122.09 -1743.07 -396.745 53761.7 55194.5 54044.1
728 2244.11 -2591.56 -392.561 52886.1 54729 54578.7
730 2232.31 -3289.26 -371.631 52166.3 54005.6 54953.6
732 2103.15 -3694.3 -215.388 51735 53168.4 55327.1
734 1864.22 -3703.65 203.376 51883.1 52587.1 55958.2
736 1507.13 -3598.49 700.991 52425.4 52144.9 56530.5
738 1274.16 -3467.25 1221.88 52732.9 51293.9 56355.8
740 1311.9 -3009.97 1996.72 52396.5 49897.3 55492.8
742 1301.67 -2264.31 2654.52 51441.4 48173 54185
744 862.134 -1452.26 3134.69 50486.2 46574.1 52715.8
746 284.547 -643.91 3779.99 49989.7 45740.3 51794.4
748 -195.862 28.5556 4512.39 49942.4 45669.4 51474.2
750 -383.887 926.002 5074.72 50007.7 46031.5 51345.7
752 -359.473 1795.94 5393.75 50435.9 46947 51404.6
754 -303.242 2409.45 5496.88 51502 48449.2 51709.5
756 -89.3825 2737.22 5345.76 52450 50108.2 51894.7
758 304.75 2711.76 4987.1 53082.3 51459.2 52018.7
760 679.127 2581.41 4273.06 53555.7 52521.5 52302.6
762 803.634 2369.08 3270.91 53965.8 53601.6 52965.2
764 743.542 2004.22 2034.33 54382.7 54694.1 54076.5
766 659.511 1451.97 757.667 54279.4 55322.1 55140.8
768 527.575 727.725 -341.369 53188.2 55292.6 55583.8
770 329.97 -150.744 -1191.16 51838.5 54980.7 55610.2
772 -72.4871 -1063.58 -1791.68 51005.7 54666.9 55762.1
774 -514.621 -1881.87 -2059.9 50466.2 54124.4 55782.6
776 -996.449 -2512.37 -2191.17 49870.6 52780.4 55186.1
778 -1434.2 -2877.54 -2214.11 48869.3 50975.8 54047.2
780 -1644.68 -2983.49 -2079.09 47203.2 49059.1 52819.6
782 -1717.2 -2773.52 -1859.3 45713.8 47605.1 51970.2
784 -1750.7 -2268.32 -1601.85 45104.9 46841.6 51676.9
786 -1805.56 -1519.54 -1270.66 45279.8 46635.7 51775.7
788 -1903.68 -684.355 -997.907 46114.8 47049.8 52017.1
790 -1854.31 176.802 -1007.59 47038.7 47712.2 52135.1
792 -1607.42 1105.92 -1392.25 47780.8 48492.6 52145.4
794 -1327.42 1842.93 -1812.58 48603.6 49374.3 52335.3
796 -1000.08 2419.72 -2214.14 49564.3 50600.5 52618.2
798 -780.069 2799.17 -2626.12 50618.4 51836.5 52775.6
800 -696.313 3009.2 -3040.15 51614.8 52703 52789.6
802 -634.488 3024.4 -3285.08 52573.1 53339.9 52794.4
804 -366.281 2691.13 -3436.68 53045.9 53791.3 52725.1
806 120.883 2255.95 -3474.95 52718.2 54157.1 52602.8
808 715.624 1900.33 -3349.8 51876.9 54198.4 52492.2
810 1364.79 1721.84 -2859.42 51029.8 54295.2 52465.4
812 1931.67 1555.59 -2323.17 50126 54494 52530.6
814 2269.6 1147.33 -1872.4 48876 54605.5 52232.5
816 2450.47 618.192 -1410.03 47354.9 54436.7 51863.4
818 2295.53 185.119 -987.903 45778.5 53560.1 51745.9
820 1885.29 -78.5903 -597.924 44405.2 52502.6 51715.2
822 1369.04 -328.301 -156.546 43506 51739.6 51840.1
824 867.817 -435.914 221.147 43093.7 51443.1 52103.8
826 406.15 -236.179 374.596 43160.1 51256 52529.4
828 -40.0817 130.588 137.809 43395.7 50547.2 52792.4
830 -592.78 563.417 -210.478 43961.2 49717.9 53061.5
832 -1028.03 977.296 -560.696 44787.1 49145 53397.5
834 -1274.36 1386 -1058.34 46037.7 49023 53892.1
836 -1403.36 1706.9 -1666.81 47468.6 49515.1 54610.9
838 -1506.3 1796.43 -2275.17 48580.2 50231.2 55210.4
840 -1605.39 1670.24 -2769.42 49270.5 50909.5 55478
842 -1723.52 1601.46 -3111.53 49710.2 51808.4 55249
844 -1746.92 1551.21 -3247.61 50175.7 53017.2 54984
846 -1697.29 1367.41 -3134.16 50601.2 54436.5 54944.5
848 -1575.99 1161.8 -2720.42 50795.6 55715.3 55010.5
850 -1193.03 862.288 -2097.97 50323.5 56125.3 54624.4
852 -728.862 231.802 -1392.57 49335.6 55497.2 53682.7
854 -135.794 -634.615 -642.102 48448.2 54456.5 52584.7
856 472.898 -1368.77 128.741 47858.2 53363.7 51608.6
858 1125.33 -1928.89 803.193 47352.7 52403.5 50732.5
860 1898.08 -2469.53 1407.94 46636.5 51519.4 49818.4
862 2558.98 -2834.44 1856.55 46128.8 50506.8 48989
864 2930.88 -2862.75 2064.45 45938.7 49464.5 48484.4
866 3063.69 -2673.93 2043.54 46020.5 48436.1 48190.8
868 2969.51 -2234.73 1716.87 46311.9 47897.1 48163.8
870 2658.52 -1567.91 1214.48 46738.1 47714.4 48330.1
